node1 node2 combined_score
ORC1L RAD1 0.579
NGF PIK3R1 0.899
ERCC3 GTF2H3 0.983
TP53 CDK7 0.845
NBN MSH2 0.333
PIK3CB PIK3R2 0.986
ERCC2 CHEK1 0.23
PCNA DMC1 0.191
GTF2H3 ERCC1 0.899
RFC4 RPA3 0.899
CHEK2 TOPBP1 0.291
RPA2 BID 0.621
IKBKG CASP8 0.959
NTRK1 PIK3R1 0.967
PIK3CA PIK3R2 0.999
GTF2H2 GTF2H3 0.959
ERCC4 MLH1 0.386
SMG7 ATM 0.357
TNFSF10 TNFRSF10A 0.998
RAD23B XPC 0.998
RPA1 MSH2 0.647
ORC1L CHEK1 0.639
MUS81 OGG1 0.16
CHUK IRAK4 0.899
APAF1 CYCS 0.937
BAD PPP3R1 0.899
PRKDC TP53 0.996
RAD52 MSH6 0.577
GTF2H2 CDK7 0.993
POLE MSH2 0.74
PCNA RFC1 0.999
RAD54B RPA1 0.2
XRCC6 TP53 0.959
ORC1L DMC1 0.19
CASP9 PIK3R2 0.8
CHUK NFKBIA 0.999
EXO1 RFC1 0.227
CHUK IRAK1 0.983
MYD88 IRAK1 0.999
BCL2L1 PIK3R1 0.899
IRAK1 FADD 0.621
TNFRSF10D CYCS 0.168
CASP8 TNFRSF10B 0.999
SMG7 XRCC5 0.358
RAD50 MSH6 0.333
RAD54L CHEK1 0.2
RFC5 RAD52 0.16
MSH3 NTHL1 0.228
POLD4 POLD3 0.899
BCL2 CYCS 0.621
TNFRSF10B TNFSF10 0.999
PIK3R3 PIK3R2 0.899
RFC4 CDC6 0.915
ERCC2 RAD54L 0.226
FEN1 POLD1 0.954
PIK3CG PIK3R1 0.934
RAD54L LIG4 0.226
MRE11A ERCC4 0.629
XAB2 ERCC1 0.899
NGF CASP6 0.899
ORC1L RAD51 0.19
FEN1 PMS2 0.29
MLH3 MSH4 0.959
CASP8 CASP9 0.845
ERCC2 ERCC1 0.899
PCNA PMS2 0.398
POLD3 RFC1 0.899
BRCA2 ATR 0.345
MAP3K14 TRADD 0.899
RAD17 DMC1 0.505
POLD1 MSH6 0.744
FAS TRADD 0.621
MUS81 RAD51 0.505
POLD4 APEX1 0.899
PCNA XRCC6 0.938
FAS MBD4 0.204
ATR ATM 0.825
TNFRSF10B TP53 0.899
ERCC4 UNG 0.579
CHEK2 TP53 0.999
PPP3CB CETN2 0.234
RAD1 MUS81 0.232
ERCC4 GTF2H1 0.959
XRCC6 XRCC5 0.999
DCLRE1C RAD51 0.165
PRKACB CAPN2 0.23
BRCA1 ATR 0.988
AKT2 CHEK1 0.571
CASP8 CASP10 0.999
RAD54B DMC1 0.621
PIK3CG IL3RA 0.8
PCNA MSH6 0.994
RAD17 TOPBP1 0.954
TP53 XRCC1 0.619
CASP9 BCL2 0.8
XPA MSH3 0.619
XPA POLD1 0.388
MSH4 ERCC1 0.235
CASP3 AKT3 0.621
CHUK FADD 0.899
TNFRSF10D TNFRSF10B 0.621
PCNA APEX1 0.845
XPA OGG1 0.386
PIK3R1 IL1B 0.899
ATR XPC 0.619
ERCC4 CHEK1 0.508
XPA XAB2 0.619
RFC1 MSH6 0.333
PRKDC ATM 0.825
RAD17 PIK3CB 0.357
RAD1 RAD51 0.505
MAP3K14 IRAK2 0.8
RAD54B POLD1 0.235
PCNA CDC6 0.959
CETN2 POLD1 0.899
CSF2RB AKT1 0.619
CAPN1 TP53 0.621
APEX2 NTHL1 0.639
POLE EXO1 0.579
CCNH RPA3 0.899
PCNA POLD3 0.999
CYCS PPP3R1 0.899
MLH3 RAD51 0.899
MSH6 MSH2 0.999
ERCC2 ERCC4 0.902
ATR MRE11A 0.571
PARP1 CASP3 0.983
ERCC4 FEN1 0.581
